State,Fatalities.Rate,Failure.to.Obey,Drunk.Driving,Speeding,Careless.Driving,Rank
Alabama,15,14,18,29,26,12
Alaska,26,44,46,5,42,40
Arizona,10,7,47,17,3,6
Arkansas,8,8,31,50,19,20
California,40,15,33,23,9,22
Colorado,29,2,21,26,33,18
Connecticut,42,11,4,41,37,28
Delaware,24,25,28,14,2,9
District.of.Columbia,51,27,44,4,22,37
Florida,16,29,41,51,1,32
Georgia,23,20,50,48,10,38
Hawaii,30,33,4,5,17,7
Idaho,14,10,22,40,40,26
Illinois,35,37,9,7,32,22
Indiana,31,20,37,31,24,33
Iowa,31,28,35,49,47,48
Kansas,20,25,36,25,38,34
Kentucky,13,4,49,44,27,31
Louisiana,6,1,16,33,7,5
Maine,28,35,12,16,35,26
Maryland,45,51,10,24,14,34
Massachusetts,50,43,2,34,36,41
Michigan,31,47,34,35,18,41
Minnesota,49,38,47,43,48,51
Mississippi,3,13,22,46,13,10
Missouri,21,23,26,9,29,16
Montana,1,8,13,20,6,1
Nebraska,21,29,41,45,50,47
Nevada,24,32,20,19,4,11
New Hampshire,26,40,18,1,31,20
New Jersey,48,44,25,42,21,45
New Mexico,17,16,10,12,5,2
New York,38,39,15,28,15,28
North Carolina,18,29,44,22,12,24
North Dakota,6,20,1,11,51,7
Ohio,43,40,38,32,43,50
Oklahoma,9,3,40,38,16,13
Oregon,36,47,17,27,28,39
Pennsylvania,19,34,22,3,30,16
Rhode Island,44,5,8,36,20,19
South Carolina,4,36,3,10,7,2
South Dakota,5,6,28,30,38,15
Tennessee,10,12,39,39,25,24
Texas,12,18,6,15,11,4
Utah,46,23,51,18,33,43
Vermont,34,49,26,37,46,49
Virginia,38,50,7,47,41,46
Washington,47,46,31,8,44,44
West Virginia,2,40,28,13,23,13
Wisconsin,40,16,13,21,45,28
Wyoming,36,18,41,2,49,36
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
